School_name,Latitude,Longitude,Selective_school
Bombala Public School,-36.918986,149.233792,Not Selective
Bonalbo Central School,-28.735472,152.623959,Not Selective
Bondi Beach Public School,-33.8883,151.276821,Not Selective
Bongongo Public School,-35.08463,148.399517,Not Selective
Bonshaw Public School,-29.046366,151.278092,Not Selective
Bonville Public School,-30.379782,153.032316,Not Selective
Boolaroo Public School,-32.951196,151.622765,Not Selective
Booligal Public School,-33.86704,144.886395,Not Selective
Boomi Public School,-28.724129,149.577268,Not Selective
Booral Public School,-32.471428,151.960736,Not Selective
Boorowa Central School,-34.436712,148.726108,Not Selective
Boree Creek Public School,-35.105937,146.606338,Not Selective
Boronia Park Public School,-33.821414,151.135558,Not Selective
Bossley Park Public School,-33.858524,150.883076,Not Selective
Botany Public School,-33.94316,151.194687,Not Selective
Bourke Public School,-30.09351,145.94968,Not Selective
Norfolk Island Central School,-29.041061,167.967768,Not Selective
Bowning Public School,-34.769376,148.81153,Not Selective
Bowral Public School,-34.481178,150.419191,Not Selective
Bowraville Central School,-30.645289,152.853898,Not Selective
Braidwood Central School,-35.440595,149.798888,Not Selective
Branxton Public School,-32.659391,151.350682,Not Selective
Breadalbane Public School,-34.790546,149.487576,Not Selective
Colo Heights Public School,-33.372972,150.739776,Not Selective
Bredbo Public School,-35.95399,149.14797,Not Selective
Brewarrina Central School,-29.963669,146.859088,Not Selective
Bribbaree Public School,-34.12042,147.874699,Not Selective
Brighton-Le-Sands Public School,-33.962357,151.148929,Not Selective
Bringelly Public School,-33.93791,150.730266,Not Selective
Broadwater Public School,-29.002773,153.437279,Not Selective
Brocklesby Public School,-35.823911,146.677989,Not Selective
Broke Public School,-32.744976,151.104334,Not Selective
Broken Hill Public School,-31.956108,141.456502,Not Selective
Broken Hill North Public School,-31.944457,141.471518,Not Selective
Bronte Public School,-33.900605,151.262011,Not Selective
Brooklyn Public School,-33.548414,151.214992,Not Selective
Brookvale Public School,-33.761678,151.270787,Not Selective
Brungle Public School,-35.156755,148.233572,Not Selective
Brunswick Heads Public School,-28.541343,153.550848,Not Selective
Bulahdelah Central School,-32.413374,152.211848,Not Selective
Bulli Public School,-34.326951,150.912703,Not Selective
Bundanoon Public School,-34.657878,150.300442,Not Selective
Bundarra Central School,-30.168353,151.077625,Not Selective
Bungendore Public School,-35.255619,149.444628,Not Selective
Bungwahl Public School,-32.389144,152.448558,Not Selective
Bunnaloo Public School,-35.786399,144.597923,Not Selective
Burke Ward Public School,-31.960361,141.441054,Not Selective
Burnside Public School,-33.79258,151.018316,Not Selective
Burrawang Public School,-34.592222,150.51725,Not Selective
Burren Junction Public School,-30.102686,148.964703,Not Selective
Burringbar Public School,-28.436645,153.466738,Not Selective
Burrumbuttock Public School,-35.837489,146.800049,Not Selective
Burwood Public School,-33.8768,151.098987,Not Selective
Buxton Public School,-34.246971,150.544826,Not Selective
Byron Bay Public School,-28.647416,153.614826,Not Selective
Cabbage Tree Island Public School,-28.98367,153.457788,Not Selective
Cabramatta Public School,-33.895823,150.942629,Not Selective
Cambewarra Public School,-34.821537,150.556043,Not Selective
Camden Public School,-34.051998,150.693236,Not Selective
Camdenville Public School,-33.906146,151.175741,Not Selective
Cammeray Public School,-33.820422,151.211542,Not Selective
Campbelltown Public School,-34.070109,150.815634,Not Selective
Campsie Public School,-33.911863,151.104846,Not Selective
Candelo Public School,-36.768392,149.695674,Not Selective
Caniaba Public School,-28.830799,153.231317,Not Selective
Canley Vale Public School,-33.88676,150.937632,Not Selective
Canobolas Public School,-33.305942,149.04621,Not Selective
Canterbury Public School,-33.908761,151.122306,Not Selective
Brisbania Public School,-33.478822,151.357294,Not Selective
Uranquinty Public School,-35.188793,147.249486,Not Selective
Capertee Public School,-33.147074,149.985922,Not Selective
Captains Flat Public School,-35.587192,149.450147,Not Selective
Caragabal Public School,-33.84532,147.744452,Not Selective
Carcoar Public School,-33.612326,149.142432,Not Selective
Cardiff Public School,-32.945779,151.657754,Not Selective
Cargo Public School,-33.427612,148.807697,Not Selective
Carinda Public School,-30.461882,147.687555,Not Selective
Caringbah Public School,-34.053433,151.122988,Not Selective
Carlton Public School,-33.963496,151.12246,Not Selective
Carlton South Public School,-33.973045,151.128287,Not Selective
Carool Public School,-28.229959,153.4293,Not Selective
Carrathool Public School,-34.409166,145.431622,Not Selective
Carrington Public School,-32.912446,151.765328,Not Selective
Carroll Public School,-30.986074,150.447096,Not Selective
Casino Public School,-28.867384,153.048053,Not Selective
Cassilis Public School,-32.004552,149.978075,Not Selective
Castle Hill Public School,-33.727887,151.004663,Not Selective
Cattai Public School,-33.558762,150.906904,Not Selective
Cawdor Public School,-34.109711,150.673727,Not Selective
Cessnock Public School,-32.840405,151.363808,Not Selective
Cessnock East Public School,-32.827606,151.369746,Not Selective
Cessnock West Public School,-32.838387,151.344863,Not Selective
Chandler Public School,-30.518553,152.053551,Not Selective
The Channon Public School,-28.675099,153.280288,Not Selective
Charlestown Public School,-32.965494,151.697486,Not Selective
Pacific Palms Public School,-32.341023,152.539306,Not Selective
Chatsworth Island Public School,-29.387954,153.231645,Not Selective
Chillingham Public School,-28.311937,153.275569,Not Selective
Chipping Norton Public School,-33.909108,150.96085,Not Selective
Clarence Town Public School,-32.588731,151.777207,Not Selective
Clemton Park Public School,-33.929708,151.108423,Not Selective
Clovelly Public School,-33.907431,151.26028,Not Selective
Clunes Public School,-28.724778,153.408852,Not Selective
Cobar Public School,-31.502199,145.836609,Not Selective
Cobargo Public School,-36.386942,149.882818,Not Selective
Cobbitty Public School,-34.0159,150.685938,Not Selective
Coffee Camp Public School,-28.662664,153.220638,Not Selective
Coffs Harbour Public School,-30.30196,153.120372,Not Selective
Coledale Public School,-34.289546,150.947366,Not Selective
Collarenebri Central School,-29.543823,148.578086,Not Selective
Collector Public School,-34.914221,149.433144,Not Selective
Collingullie Public School,-35.09019,147.127156,Not Selective
Collins Creek Public School,-28.489297,153.022547,Not Selective
Colyton Public School,-33.777199,150.81316,Not Selective
Comboyne Public School,-31.605308,152.472736,Not Selective
Comleroy Road Public School,-33.506475,150.69763,Not Selective
Como Public School,-34.001832,151.069127,Not Selective
Conargo Public School,-35.305269,145.17886,Not Selective
Concord Public School,-33.863224,151.106944,Not Selective
Concord West Public School,-33.839613,151.087317,Not Selective
Condobolin Public School,-33.085514,147.149077,Not Selective
